Sector,Model,MAE,RMSE,MAPE,NRMSE,R2
Communication Services,CNN1D,25.62745893358028,32.19229123607281,4.3532177652800925,4.011451454557277,0.9619954397254397
Communication Services,GRU,14.9097968114316,19.77422279339439,2.070671718644257,2.294390799556613,0.9885583853265596
Communication Services,LSTM,19.902282559706435,25.748798382842196,2.8467349585721653,3.0479438073259244,0.9792534789439555
Communication Services,SimpleRNN,33.63250389001671,42.02002296520081,3.934927537402457,3.9711132750541687,0.9669687789198234
Consumer Cyclical,CNN1D,100.3654342450785,133.07861219822072,3.225051243513049,2.981930837037662,0.9836336580613949
Consumer Cyclical,GRU,51.81353672166372,70.17182981575647,1.7825757121904515,1.5563113702306817,0.9955191363682021
Consumer Cyclical,LSTM,86.30888769065224,116.13396050086345,3.1156942811518324,2.6660949747921103,0.9872586051289052
Consumer Cyclical,SimpleRNN,68.30498600438408,91.54501986158826,2.3243746602664617,2.1176564267860662,0.9917366458672277
Energy,CNN1D,12.92185260827731,16.694385395348107,2.9282648538227156,3.0214773369807095,0.9805029928389173
Energy,GRU,7.207485506051049,9.231110255286074,1.9646885782596772,1.8692048556462515,0.9930006218886416
Energy,LSTM,9.095855476689005,11.891327626434274,2.5217237204926293,2.4398763173441775,0.9877832471972626
Energy,SimpleRNN,9.793403422271131,13.016352807950685,2.9388687561457054,2.8778812986997075,0.9793547737763808
Healthcare,CNN1D,35.185774817825234,48.80938815845623,2.32243425978023,2.3952848480621896,0.9868273684361631
Healthcare,GRU,24.160498648240438,32.747840824489124,1.7153469519598648,1.5897103355601117,0.9945335380682772
Healthcare,LSTM,42.44459908054756,57.115858753127135,2.453445002755524,2.7704789751725047,0.9826382233176116
Healthcare,SimpleRNN,36.58900189914256,50.33010736376803,2.2737881625881515,2.745357531394835,0.9825948509792021
Technology,CNN1D,42.204541047060886,52.93175502264707,3.8158336790574756,4.27557762127338,0.9582562586706146
Technology,GRU,18.977329462466006,25.466907080371648,1.4914363231664323,1.6949930433065967,0.9941450108528428
Technology,LSTM,43.358105717083724,54.87212385000557,2.9264425053215537,3.6226921790172693,0.9671025501945559
Technology,SimpleRNN,44.396786812423336,60.786987688930566,2.6194454569571946,3.815607460725305,0.9625782513977543
